policy_id,title,organization,stage2_category,confidence,reason,candidate_count,direct_cash_candidate_count,candidate_types,estimated_amount_manwon,estimated_type,estimated_context,direct_candidate_summary,manual_status,manual_category,url
PBLN_000000000118033,[충북] 2026년 사회적기업 육성자금 이차보전금 지원계획 공고,충청북도,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,1,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118033
TECHNOPARK:793,[강원테크노파크 공고 제 2026-101호] 2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업 공고,강원테크노파크,hold_unit_or_total_context,none,월/명/건/기간/총규모/자부담 등 위험 문맥 포함,10,7,"education_fee, support_amount",,,,"20000.0만원/support_amount/조건◦(지원 과제)14개사(고도화 4,기초 10)◦(지원 조건)-고도화:목표수준별 총 2.5억원 내에서 2회(1회차고도화→2회차동일수준)까지 지원하되,회당 최대 2억원 한도,지원비율 50%이내에서 지원가능*단,공고일 전에 스마트공장 구축사업을 통해 “고도화”지원받은 기업이 ‘26년도 “동일수준”신청시,기존처럼 최대 0.5 || 20000.0만원/support_amount/‘25년 이전 고도화 목표(중간1) 달성한 기업이 중간1 동일수준 목표로 지원할 경우최대 6개월최대 0.5억원중간1(동일수준)∘ 최초신청 기업 최대 9개월최대 2억원중간1 또는중간2(고도화)∘ 기초수준 구축기업최대 9개월최대 2억원중간1 또는중간2(고도화)∘ ‘25년 이전 중간1을 지원받아 목표달성한 기업이 중간2를 목표 || 20000.0만원/support_amount/목표로 지원할 경우최대 6개월최대 0.5억원중간1(동일수준)∘ 최초신청 기업 최대 9개월최대 2억원중간1 또는중간2(고도화)∘ 기초수준 구축기업최대 9개월최대 2억원중간1 또는중간2(고도화)∘ ‘25년 이전 중간1을 지원받아 목표달성한 기업이 중간2를 목표로 하는 경우 최대 9개월최대 2억원중간2(고... || 20000.0만원/support_amount/기초수준 구축기업최대 9개월최대 2억원중간1 또는중간2(고도화)∘ ‘25년 이전 중간1을 지원받아 목표달성한 기업이 중간2를 목표로 하는 경우 최대 9개월최대 2억원중간2(고... || 8000.0만원/support_amount/년도 “동일수준”신청시,기존처럼 최대 0.5억원,6개월 이내 지원 가능(동일수준 지원은 목표수준별 1회만 지원 가능) - 2 - -기초:신규 구축 및 동일 수준 0.8억원 이내(지원 비율 80%이내)지원유형지원기간정부 지원한도지원 비율구축목표수준※고도화최대 9개월최대 2.0억원 이내(단, 수준별 2.5억원 한도)50% 이 || 5000.0만원/support_amount/최대 2억원 한도,지원비율 50%이내에서 지원가능*단,공고일 전에 스마트공장 구축사업을 통해 “고도화”지원받은 기업이 ‘26년도 “동일수준”신청시,기존처럼 최대 0.5억원,6개월 이내 지원 가능(동일수준 지원은 목표수준별 1회만 지원 가능) - 2 - -기초:신규 구축 및 동일 수준 0.8억원 이내(지원 비율 80%이내)",reviewed,keep_old_amount,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMwNjYmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,hold_unit_or_total_context,none,월/명/건/기간/총규모/자부담 등 위험 문맥 포함,6,4,"loan, support_amount, support_ratio",,,,"1000000.0만원/support_amount/026년도 상반기 구조고도화자금 지원 계획을 다음과 같이 공고합니다.2026년 3월 4일광 주 광 역 시 장1 지원 개요 ❍ 지원 규모 : 300억원 ※ 하반기 100억원 예정 ❍ 지원 내용 사 업 명지원 용도지원 한도상환 조건비 고창업지원사업(업력: 7년 이내)공장부지 매입, 제조기계설비 구입,공장건물 매입·건축·임차  || 1000000.0만원/support_amount/) - 오락기 및 도박기계 임대업체 - 단순보관 유통·도·소매업체(사업자등록증상 제조업체로 명기되어 있어도 제외) - 최근 5년간 정부·지자체 정책자금 지원금액 100억원 초과 업체 - 운전자금(1년 거치 2년 균분상환)의 경우, 만기 상환 이후 신청 가능 - 전년도 구조고도화자금 승인서를 발급받고 대출취급기한 내 미사용 || 100000.0만원/support_amount/제조업체, 제조업 관련 서비스업체 ☞ 구조고도화자금(창업지원사업, 경쟁력강화사업, 경영안정사업) 지원 - 창업지원사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경영안정화사업(1년 거치, 2년 균분상환 / 지원 한도 || 100000.0만원/support_amount/경영안정사업) 지원 - 창업지원사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경영안정화사업(1년 거치, 2년 균분상환 / 지원 한도 3억원 / 운전자금) 사업신청 방법 온라인 접수 (기금융자관리시스템) 사업신청 사",reviewed,keep_old_amount,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836
PBLN_000000000118879,[인천] 2026년 청년 창업가 육성 및 지원을 위한 청년창업 특례보증 지원사업 공고,인천광역시,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,3,0,"non_cash, support_ratio",,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118879
PBLN_000000000123549,[경기] 용인시 제2차 반도체기업 기술보호 지원사업 모집 공고,경기도,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,3,0,non_cash,,,,,reviewed,keep_old_amount,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123549
PBLN_000000000118881,[인천] 2026년 소공인 경영안정 및 성장지원을 위한 소공인 지원 특례보증 지원사업 공고,인천광역시,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,3,0,"non_cash, support_ratio",,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118881
SMARTFACTORY:2026-N-0122:1,[코오롱베니트] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,14,0,"education_fee, fee, support_ratio",,,,,pending,mixed_manual_review,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0122&pbancSn=1
TECHNOPARK:872,2026년 충남 정보보호 우수사례 지원사업 수혜기업 모집,충남테크노파크,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,6,0,"consulting_fee, non_cash, support_amount",,,,,reviewed,keep_old_amount,https://www.ctp.or.kr/business/datadetail.do?seq=2709231
PBLN_000000000119420,[대전] 2026년 수출보증보험료 지원사업 참가기업 모집 공고,대전광역시,ratio_only,none,금액 후보 없이 지원비율만 있음,1,0,support_ratio,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119420
PBLN_000000000123792,2026년 충북청주 강소특구 X SK텔레콤 AI 기반 제조혁신 오픈이노베이션 지원사업 모집 공고,충청북도,exclude_non_cash_finance_total,none,직접지원 후보 없이 제외/총규모/금융/비현금 유형만 있음,3,0,non_cash,,,,,not_required,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123792
