policy_id,subtype
KOSMES:6107069,detail_text_no_amount
PBLN_000000000117557,attachment_ocr_or_table_review
PBLN_000000000117654,support_type_filter_excluded
PBLN_000000000117668,attachment_ocr_or_table_review
PBLN_000000000117774,attachment_ocr_or_table_review
PBLN_000000000118037,attachment_ocr_or_table_review
PBLN_000000000118049,support_type_filter_excluded
PBLN_000000000118213,attachment_ocr_or_table_review
PBLN_000000000119064,attachment_ocr_or_table_review
PBLN_000000000119124,attachment_ocr_or_table_review
PBLN_000000000119234,attachment_ocr_or_table_review
PBLN_000000000119235,attachment_ocr_or_table_review
PBLN_000000000119272,attachment_ocr_or_table_review
PBLN_000000000119584,attachment_ocr_or_table_review
PBLN_000000000119762,attachment_ocr_or_table_review
PBLN_000000000120006,support_type_filter_excluded
PBLN_000000000120113,attachment_ocr_or_table_review
PBLN_000000000120201,support_type_filter_excluded
PBLN_000000000120215,attachment_ocr_or_table_review
PBLN_000000000120495,support_type_filter_excluded
PBLN_000000000120516,attachment_ocr_or_table_review
PBLN_000000000120527,support_type_filter_excluded
PBLN_000000000120588,attachment_ocr_or_table_review
PBLN_000000000120591,attachment_ocr_or_table_review
PBLN_000000000120679,attachment_ocr_or_table_review
PBLN_000000000120694,attachment_ocr_or_table_review
PBLN_000000000120871,attachment_ocr_or_table_review
PBLN_000000000121025,attachment_ocr_or_table_review
PBLN_000000000121098,attachment_ocr_or_table_review
PBLN_000000000121617,attachment_ocr_or_table_review
PBLN_000000000121697,attachment_ocr_or_table_review
PBLN_000000000121868,attachment_ocr_or_table_review
PBLN_000000000122309,attachment_ocr_or_table_review
PBLN_000000000122357,attachment_ocr_or_table_review
PBLN_000000000122371,attachment_ocr_or_table_review
PBLN_000000000122526,attachment_ocr_or_table_review
PBLN_000000000122589,attachment_ocr_or_table_review
PBLN_000000000122627,attachment_ocr_or_table_review
PBLN_000000000122650,detail_text_no_amount
PBLN_000000000122670,attachment_ocr_or_table_review
PBLN_000000000122852,support_type_filter_excluded
PBLN_000000000122863,attachment_ocr_or_table_review
PBLN_000000000122971,support_type_filter_excluded
PBLN_000000000123038,attachment_ocr_or_table_review
PBLN_000000000123203,attachment_ocr_or_table_review
PBLN_000000000123222,attachment_ocr_or_table_review
PBLN_000000000123225,attachment_ocr_or_table_review
PBLN_000000000123296,attachment_ocr_or_table_review
PBLN_000000000123335,attachment_ocr_or_table_review
PBLN_000000000123346,attachment_ocr_or_table_review
PBLN_000000000123361,attachment_ocr_or_table_review
PBLN_000000000123379,support_type_filter_excluded
PBLN_000000000123397,attachment_ocr_or_table_review
PBLN_000000000123505,support_type_filter_excluded
PBLN_000000000123668,detail_text_no_amount
PBLN_000000000123719,attachment_ocr_or_table_review
SMARTFACTORY:2026-N-0077:1,detail_text_no_amount
SMARTFACTORY:2026-N-0110:2,support_type_filter_excluded
SMARTFACTORY:2026-N-0110:4,support_type_filter_excluded
SMARTFACTORY:2026-N-0110:5,support_type_filter_excluded
SMARTFACTORY:2026-N-0112:1,support_type_filter_excluded
SMARTFACTORY:2026-N-0112:2,support_type_filter_excluded
TECHNOPARK:1558,detail_text_no_amount
TECHNOPARK:1559,detail_text_no_amount
TECHNOPARK:1749,url_retry_or_new_source
TECHNOPARK:1770,support_type_filter_excluded
TECHNOPARK:1792,support_type_filter_excluded
TECHNOPARK:1868,attachment_ocr_or_table_review
TECHNOPARK:539,attachment_ocr_or_table_review
TECHNOPARK:694,url_retry_or_new_source
TECHNOPARK:946,detail_text_no_amount
TECHNOPARK:964,attachment_ocr_or_table_review
