policy_id,title,organization,fetch_status,source_kind,decision,decision_reasons,decision_reasons_ko,comparison_reasons,old_amount_manwon,old_amount_type,old_roi_apply_method,candidate_count,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,new_support_ratio,detail_text_length,attachment_text_length,fetch_error,url
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=69000,new=1000",69000.0,support_amount,subtract,2,1000.0,support_amount,subtract,0.7,6863,0,,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,fetched,url,needs_review,subtract_without_limit_context | large_amount_delta,직접 차감 후보이나 기업당/한도 문맥이 부족함 | 기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=250000,new=50000",250000.0,support_amount,subtract,19,50000.0,support_amount,subtract,1.0,27515,0,통합사업관리시스템 매뉴얼_수행기관용_v1.1.pdf: 404 Client Error: Not Found for url: https://www.k-pass.kr/notice/%ED%86%B5%ED%95%A9%EC%82%AC%EC%97%85%EA%B4%80%EB%A6%AC%EC%8B%9C%EC%8A%A4%ED%85%9C%20%EB%A7%A4%EB%89%B4%EC%96%BC_%EC%88%98%ED%96%89%EA%B8%B0%EA%B4%80%EC%9A%A9_v1.1.pdf / FileDown.do: 404 Client Error: Not Found for url: https://www.k-pass.kr/cmm/FileDown.do?dirName=manual/&fileName= / FileDown.do: 404 Client Error: Not Found for url: https://www.k-pass.kr/cmm/FileDown.do;jsessionid=7hOnyyODfekUkfNMnbERljZE06sl19G23aT9jRL1aKoJEAdjTpwaVI9jwFB8Ao7x.K-PASS-WAS_servlet_engine2?ancId= / FileDown.do: 404 Client Error: Not Found for url: https://www.k-pass.kr/cmm/FileDown.do;jsessionid=7hOnyyODfekUkfNMnbERljZE06sl19G23aT9jRL1aKoJEAdjTpwaVI9jwFB8Ao7x.K-PASS-WAS_servlet_engine2?fileid=,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=24,new=7",24.0,support_amount,subtract,8,7.0,support_amount,subtract,,1641,7256,2026년 부천시 「내일채움공제」 지원계획 공고.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%20%EB%B6%80%EC%B2%9C%EC%8B%9C%20%E3%80%8C%EB%82%B4%EC%9D%BC%EC%B1%84%EC%9B%80%EA%B3%B5%EC%A0%9C%E3%80%8D%20%EC%A7%80%EC%9B%90%EA%B3%84%ED%9A%8D%20%EA%B3%B5%EA%B3%A0.hwp / 202601021032020268.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601021032020268.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=164,new=410",164.0,support_amount,subtract,12,410.0,support_amount,subtract,,2070,4071,2026년 강원 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%20%EA%B0%95%EC%9B%90%20%EA%B8%80%EB%A1%9C%EB%B2%8C%20IP%20%EC%8A%A4%ED%83%80%EA%B8%B0%EC%97%85%20%EC%9C%A1%EC%84%B1%20%ED%95%B4%EC%99%B8OA%EB%B9%84%EC%9A%A9%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85%20%EA%B3%B5%EA%B3%A0.hwp / 서류제출 안내.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%84%9C%EB%A5%98%EC%A0%9C%EC%B6%9C%20%EC%95%88%EB%82%B4.hwp / 202601150927040542.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601150927040542.hwp / 202601150927080724.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601150927080724.hwp / 202601150927080892.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601150927080892.hwp / 202601150927090088.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601150927090088.hwp / 붙임1_해외OA비용 신청서(양식).hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%841_%ED%95%B4%EC%99%B8OA%EB%B9%84%EC%9A%A9%20%EC%8B%A0%EC%B2%AD%EC%84%9C(%EC%96%91%EC%8B%9D).hwp / 붙임2_해외OA비용 서약서(양식).hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%842_%ED%95%B4%EC%99%B8OA%EB%B9%84%EC%9A%A9%20%EC%84%9C%EC%95%BD%EC%84%9C(%EC%96%91%EC%8B%9D).hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=100000,new=5.9e+06",100000.0,support_amount,subtract,10,5900000.0,support_amount,subtract,,1679,4651,2026년도_중소기업_매출채권팩토링_지원계획_공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%EB%8F%84_%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85_%EB%A7%A4%EC%B6%9C%EC%B1%84%EA%B6%8C%ED%8C%A9%ED%86%A0%EB%A7%81_%EC%A7%80%EC%9B%90%EA%B3%84%ED%9A%8D_%EA%B3%B5%EA%B3%A0.pdf / 202601191010290383.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601191010290383.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563
PBLN_000000000117671,[인천] 서구 2026년 제품인증획득 지원사업 신청 공고,인천광역시,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"type_changed:support_amount->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=500,new=400",500.0,support_amount,subtract,7,400.0,non_cash,recommend_only,,2086,10158,지원대상분야_인증리스트.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%A7%80%EC%9B%90%EB%8C%80%EC%83%81%EB%B6%84%EC%95%BC_%EC%9D%B8%EC%A6%9D%EB%A6%AC%EC%8A%A4%ED%8A%B8.pdf / 202601211036540094.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601211036540094.pdf / 2026년_제품인증획득_지원사업_신청_안내문.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84_%EC%A0%9C%ED%92%88%EC%9D%B8%EC%A6%9D%ED%9A%8D%EB%93%9D_%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%EC%8B%A0%EC%B2%AD_%EC%95%88%EB%82%B4%EB%AC%B8.hwp / 신청서류(지원신청서.사업계획서.개인정보이용및제공동의서).hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%8B%A0%EC%B2%AD%EC%84%9C%EB%A5%98(%EC%A7%80%EC%9B%90%EC%8B%A0%EC%B2%AD%EC%84%9C.%EC%82%AC%EC%97%85%EA%B3%84%ED%9A%8D%EC%84%9C.%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%EC%9D%B4%EC%9A%A9%EB%B0%8F%EC%A0%9C%EA%B3%B5%EB%8F%99%EC%9D%98%EC%84%9C).hwp / 202601211036460578.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601211036460578.hwp / 202601211036530881.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601211036530881.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117671
PBLN_000000000117688,[인천] 서구(검단지역) 2026년 제품인증획득 지원사업 신청 공고,인천광역시,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"type_changed:support_amount->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=500,new=400",500.0,support_amount,subtract,7,400.0,non_cash,recommend_only,,2110,10196,지원대상분야_인증리스트.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%A7%80%EC%9B%90%EB%8C%80%EC%83%81%EB%B6%84%EC%95%BC_%EC%9D%B8%EC%A6%9D%EB%A6%AC%EC%8A%A4%ED%8A%B8.pdf / 202601211033430102.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601211033430102.pdf / (검단지역)_2026년_제품인증획득_지원사업_신청_안내문.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B2%80%EB%8B%A8%EC%A7%80%EC%97%AD)_2026%EB%85%84_%EC%A0%9C%ED%92%88%EC%9D%B8%EC%A6%9D%ED%9A%8D%EB%93%9D_%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%EC%8B%A0%EC%B2%AD_%EC%95%88%EB%82%B4%EB%AC%B8.hwp / (검단지역)_신청서류(지원신청서.사업계획서.개인정보이용및제공동의서).hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B2%80%EB%8B%A8%EC%A7%80%EC%97%AD)_%EC%8B%A0%EC%B2%AD%EC%84%9C%EB%A5%98(%EC%A7%80%EC%9B%90%EC%8B%A0%EC%B2%AD%EC%84%9C.%EC%82%AC%EC%97%85%EA%B3%84%ED%9A%8D%EC%84%9C.%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%EC%9D%B4%EC%9A%A9%EB%B0%8F%EC%A0%9C%EA%B3%B5%EB%8F%99%EC%9D%98%EC%84%9C).hwp / 202601211033380336.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601211033380336.hwp / 202601211033420940.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601211033420940.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117688
PBLN_000000000117992,2026년 나눔장비 이전지원사업 모집 공고,과학기술정보통신부,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=6000,new=3000",6000.0,support_amount,subtract,11,3000.0,support_amount,subtract,0.2,2105,8596,2026년 나눔장비 이전지원사업 공고문.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%20%EB%82%98%EB%88%94%EC%9E%A5%EB%B9%84%20%EC%9D%B4%EC%A0%84%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85%20%EA%B3%B5%EA%B3%A0%EB%AC%B8.hwp / 202601291405150152.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601291405150152.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117992
PBLN_000000000118027,2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고,부산광역시,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"type_changed:voucher->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=80,new=500000",80.0,voucher,subtract,8,500000.0,non_cash,recommend_only,0.008,2355,9306,2026년+KOLAS+공인+제품인증+서비스+바우처+지원사업+참가+희망기업+모집+공고문.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84+KOLAS+%EA%B3%B5%EC%9D%B8+%EC%A0%9C%ED%92%88%EC%9D%B8%EC%A6%9D+%EC%84%9C%EB%B9%84%EC%8A%A4+%EB%B0%94%EC%9A%B0%EC%B2%98+%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85+%EC%B0%B8%EA%B0%80+%ED%9D%AC%EB%A7%9D%EA%B8%B0%EC%97%85+%EB%AA%A8%EC%A7%91+%EA%B3%B5%EA%B3%A0%EB%AC%B8.hwp / 202601301112430765.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601301112430765.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118027
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=3800,new=5000",3800.0,subsidy,subtract,13,5000.0,subsidy,subtract,0.5,2281,12052,2026년_중소기업_연구인력지원사업_공고.hwpx: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84_%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85_%EC%97%B0%EA%B5%AC%EC%9D%B8%EB%A0%A5%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%EA%B3%B5%EA%B3%A0.hwpx / 202602041327480823.hwpx: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202602041327480823.hwpx,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
