policy_id,support_ratio,max_amount_type,roi_apply_method,evidence
PBLN_000000000116853,0.5,support_ratio,ratio_cap,2026년 기업훈련 탄력운영제 참여기업 모집 공고 고용노동부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 인력 2026년 기업훈련 탄력운영
PBLN_000000000117066,0.6,support_ratio,ratio_cap,장애인고용개선장려금 사업 공고 고용노동부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 금융 장애인고용개선장려금 사업 공고 2025.12.3
PBLN_000000000118047,0.4,support_ratio,ratio_cap,[충북] 청주시 2026년 도시근로자 지원사업 참여기업 모집 공고 충청북도 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 인력 [충북] 청주
PBLN_000000000119093,1.0,support_ratio,ratio_cap,[인천] 2026년 파브(PAV) 부품 시험ㆍ인증 지원사업 참여기업 모집 공고 인천광역시 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 기술
PBLN_000000000120170,0.8,support_ratio,ratio_cap,2026년 중소기업 기술분쟁 소송보험 지원사업 공고 중소벤처기업부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 금융 2026년 중소기업 기
PBLN_000000000121777,0.8,support_ratio,ratio_cap,[울산] 2026년 소상공인 산재보험료 지원사업 공고 울산광역시 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 금융 [울산] 2026년 소상
PBLN_000000000122168,0.8,support_ratio,ratio_cap,[경북] 경주시 2026년 소규모 사업장 방지시설 설치 지원사업 공고 경상북도 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 경영 [경북]
PBLN_000000000122761,1.0,support_ratio,ratio_cap,"2026년 2차 재생에너지R&D(태양광, 풍력) 신규지원대상 연구개발과제 공고 기후에너지환경부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고"
PBLN_000000000122891,1.0,support_ratio,ratio_cap,2026년 2차 전력정보화 및 정책지원사업(신재생에너지 분야) 신규지원 대상과제 공고 기후에너지환경부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사
PBLN_000000000123130,1.0,support_ratio,ratio_cap,2026년 K-온디바이스 AI반도체 기술개발사업 신규 지원대상 연구개발과제 공고 산업통상부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 통합회원가입 화면크기 가 작게 가 보통 가 크게 가 가장 크게 초기화 HOME 정책정보 지원사업 공고 지원사업 공고 기
